filename,canSteering
0.jpg,13.185665
1.jpg,4.43182
2.jpg,18.02977
3.jpg,5.7940044
4.jpg,10.157044
5.jpg,0.9919316
6.jpg,11.083711
7.jpg,14.583565
8.jpg,14.583713
9.jpg,8.755346
10.jpg,14.10509
11.jpg,6.560104
12.jpg,8.772134
13.jpg,12.777033
14.jpg,11.35401
15.jpg,15.793774
16.jpg,4.558246
17.jpg,3.003202
18.jpg,1.3116663
19.jpg,1.2627335
20.jpg,-4.8853693
21.jpg,-7.466471
22.jpg,-1.9999146
23.jpg,-2.0502253
24.jpg,0.16410851
25.jpg,-5.0451794
26.jpg,-2.8638194
27.jpg,-2.721361
28.jpg,-6.9616823
29.jpg,-3.0243876
30.jpg,-6.400486
31.jpg,-2.534149
32.jpg,-4.174237
33.jpg,4.139278
34.jpg,0.87626356
35.jpg,11.752307
36.jpg,-2.2240672
37.jpg,3.327153
38.jpg,-7.297505
39.jpg,-10.800768
40.jpg,-6.741484
41.jpg,-17.167068
42.jpg,-9.803392
43.jpg,-24.747597
44.jpg,-24.231808
45.jpg,-21.846596
46.jpg,-13.27483
47.jpg,-13.059531
48.jpg,-3.7736955
49.jpg,-1.9985702
50.jpg,-8.837662
51.jpg,-9.642828
52.jpg,-5.222418
53.jpg,-3.9608772
54.jpg,-5.5343523
55.jpg,-7.3284826
56.jpg,-16.5791
57.jpg,-26.705767
58.jpg,-33.750374
59.jpg,-64.41815
60.jpg,-42.957
61.jpg,-32.698605
62.jpg,-41.344788
63.jpg,-44.7302
64.jpg,-45.2164
65.jpg,-33.371452
66.jpg,-80.13474
67.jpg,-46.070133
68.jpg,-38.609535
69.jpg,-30.78128
70.jpg,-38.03315
71.jpg,-30.481369
72.jpg,-31.286333
73.jpg,-32.694386
74.jpg,-32.71381
75.jpg,-32.744537
76.jpg,-34.82654
77.jpg,-35.77564
78.jpg,-20.86056
79.jpg,-20.13035
80.jpg,-13.986214
81.jpg,-14.687231
82.jpg,-21.672623
83.jpg,-22.921425
84.jpg,-16.745905
85.jpg,-20.62355
86.jpg,-7.171074
87.jpg,-15.933498
88.jpg,6.4362135
89.jpg,8.757332
90.jpg,1.1844867
91.jpg,2.7716017
92.jpg,3.2203164
93.jpg,6.4606576
94.jpg,9.278254
95.jpg,6.947491
96.jpg,10.124049
97.jpg,9.477761
98.jpg,14.895096
99.jpg,22.353008
100.jpg,18.614693
101.jpg,12.616241
102.jpg,12.716646
103.jpg,13.384623
104.jpg,15.086594
105.jpg,18.395704
106.jpg,16.111095
107.jpg,15.77053
108.jpg,15.697695
109.jpg,17.474268
110.jpg,10.061277
111.jpg,10.705515
112.jpg,2.3277814
113.jpg,-8.507681
114.jpg,4.305315
115.jpg,11.128664
116.jpg,7.3667936
117.jpg,9.566988
118.jpg,9.233417
119.jpg,6.947573
120.jpg,8.38423
121.jpg,10.67533
122.jpg,16.273504
123.jpg,19.729034
124.jpg,21.156836
125.jpg,18.574581
126.jpg,17.12408
127.jpg,13.001465
128.jpg,15.377631
129.jpg,15.143511
130.jpg,13.812223
131.jpg,17.066343
132.jpg,11.33715
133.jpg,12.427266
134.jpg,14.671107
135.jpg,12.439282
136.jpg,7.0740185
137.jpg,5.0491633
138.jpg,2.4996402
139.jpg,4.930971
140.jpg,3.3785977
141.jpg,1.4505239
142.jpg,5.768848
143.jpg,9.502387
144.jpg,10.077048
145.jpg,9.898935
146.jpg,2.7319095
147.jpg,3.523966
148.jpg,6.1626606
149.jpg,7.2003536
150.jpg,12.334295
151.jpg,5.0010443
152.jpg,13.464273
153.jpg,8.995571
154.jpg,10.881022
155.jpg,16.215147
156.jpg,5.762496
157.jpg,9.217756
158.jpg,10.732588
159.jpg,3.5281413
160.jpg,5.5860686
161.jpg,-3.3739617
162.jpg,-4.0024347
163.jpg,-2.2649925
164.jpg,-5.499042
165.jpg,-7.2062397
166.jpg,-12.608651
167.jpg,-13.033656
168.jpg,-13.855193
169.jpg,-20.120499
170.jpg,-24.40313
171.jpg,-18.197895
172.jpg,-28.106289
173.jpg,-9.326212
174.jpg,-16.694155
175.jpg,-18.095089
176.jpg,-14.599853
177.jpg,-13.41252
178.jpg,-13.297823
179.jpg,-18.443995
180.jpg,-9.1314125
181.jpg,-6.2734065
182.jpg,-7.5702186
183.jpg,-6.9803543
184.jpg,-8.970374
185.jpg,-3.32834
186.jpg,-8.719931
187.jpg,-8.871749
188.jpg,-4.5048165
189.jpg,-5.5147
190.jpg,-4.1811996
191.jpg,-12.14223
192.jpg,-8.940498
193.jpg,-6.447438
194.jpg,-8.284014
195.jpg,-4.419792
196.jpg,-7.024515
197.jpg,-18.083693
198.jpg,-29.052944
199.jpg,-24.399315
200.jpg,-17.528
201.jpg,-36.109566
202.jpg,-33.376858
203.jpg,-10.56947
204.jpg,-39.293083
205.jpg,-24.853058
206.jpg,-6.9353604
207.jpg,-1.321586
208.jpg,-13.729096
209.jpg,-17.72012
210.jpg,-21.276743
211.jpg,-7.99507
212.jpg,-8.765038
213.jpg,-1.8030796
214.jpg,1.942168
215.jpg,-6.6397047
216.jpg,-8.3112955
217.jpg,-3.1417542
218.jpg,-0.3295076
219.jpg,-2.780363
220.jpg,-8.59205
221.jpg,-26.354462
222.jpg,-31.554039
223.jpg,-16.743488
224.jpg,-12.762592
225.jpg,-15.578084
226.jpg,-16.059753
227.jpg,-14.004914
228.jpg,-13.211465
229.jpg,-7.6969075
230.jpg,-15.583181
231.jpg,-13.303455
232.jpg,-6.13448
233.jpg,-10.826835
234.jpg,-4.8712916
235.jpg,-3.3025208
236.jpg,-1.2991507
237.jpg,-3.9600165
238.jpg,-4.0054526
239.jpg,-2.180659
240.jpg,-1.4139607
241.jpg,1.6793561
242.jpg,-0.092163555
243.jpg,1.0109173
244.jpg,4.884633
245.jpg,6.0037556
246.jpg,-4.040312
247.jpg,2.4588194
248.jpg,-5.5615764
249.jpg,-9.768952
250.jpg,7.3619847
251.jpg,24.318726
252.jpg,13.405794
253.jpg,5.972634
254.jpg,-13.9012985
255.jpg,10.072405
256.jpg,14.265543
257.jpg,28.294884
258.jpg,28.176739
259.jpg,23.770554
260.jpg,29.489437
261.jpg,38.899307
262.jpg,32.52392
263.jpg,36.765575
264.jpg,36.382103
265.jpg,35.506935
266.jpg,35.597485
267.jpg,38.929256
268.jpg,37.102505
269.jpg,43.13608
270.jpg,41.31765
271.jpg,46.13598
272.jpg,43.669144
273.jpg,49.13164
274.jpg,54.6779
275.jpg,60.21468
276.jpg,67.366554
277.jpg,56.012627
278.jpg,39.688572
279.jpg,43.82297
280.jpg,37.821014
281.jpg,39.694435
282.jpg,43.735756
283.jpg,64.84026
284.jpg,58.78092
285.jpg,95.959175
286.jpg,103.77518
287.jpg,133.93253
288.jpg,135.73242
289.jpg,140.4267
290.jpg,198.63412
291.jpg,115.392075
292.jpg,-39.067398
293.jpg,-133.13298
294.jpg,-155.58711
295.jpg,-161.91171
296.jpg,-188.84834
297.jpg,-175.9689
298.jpg,-175.04355
299.jpg,-194.10732
300.jpg,-225.7944
301.jpg,-229.69513
302.jpg,-261.7551
303.jpg,-249.83386
304.jpg,-263.7894
305.jpg,-263.5748
306.jpg,-287.47806
307.jpg,-314.17258
308.jpg,-300.3412
309.jpg,-331.17236
310.jpg,-356.95792
311.jpg,-332.58057
312.jpg,-379.00232
313.jpg,-341.03735
314.jpg,-349.23157
315.jpg,-340.57584
316.jpg,-325.45435
317.jpg,-339.97824
318.jpg,-343.92575
319.jpg,-345.90643
320.jpg,-334.96313
321.jpg,-355.95288
322.jpg,-326.88168
323.jpg,-339.9812
324.jpg,-324.605
325.jpg,-318.5772
326.jpg,-297.04355
327.jpg,-302.0847
328.jpg,-305.8002
329.jpg,-317.48572
330.jpg,-284.21277
331.jpg,-268.2115
332.jpg,-251.38982
333.jpg,-253.41054
334.jpg,-256.22446
335.jpg,-243.20184
336.jpg,-209.56046
337.jpg,-215.14217
338.jpg,-185.36621
339.jpg,-191.19025
340.jpg,-118.74486
341.jpg,-111.96267
342.jpg,-123.76553
343.jpg,-65.16114
344.jpg,-50.15183
345.jpg,-48.910553
346.jpg,-43.094414
347.jpg,-42.60165
348.jpg,-19.498432
349.jpg,-12.2587
350.jpg,-10.084064
351.jpg,-9.554272
352.jpg,-10.044122
353.jpg,-16.95779
354.jpg,-1.6501732
355.jpg,-5.6915483
356.jpg,-2.9077814
357.jpg,-2.7815259
358.jpg,-7.122978
359.jpg,-0.5835962
360.jpg,-1.5463214
361.jpg,0.6337467
362.jpg,3.2531831
363.jpg,4.970379
364.jpg,3.506921
365.jpg,3.4316201
366.jpg,-4.856718
367.jpg,-3.608365
368.jpg,6.5817704
369.jpg,4.303325
370.jpg,3.608006
371.jpg,6.184456
372.jpg,2.9878478
373.jpg,11.552258
374.jpg,8.086094
375.jpg,4.560611
376.jpg,-0.19328931
377.jpg,8.834798
378.jpg,5.88672
379.jpg,-0.07767663
380.jpg,17.611061
381.jpg,16.3983
382.jpg,12.583954
383.jpg,6.3357463
384.jpg,10.996913
385.jpg,10.6212225
386.jpg,17.231598
387.jpg,15.010759
388.jpg,17.679806
389.jpg,18.342268
390.jpg,21.283497
391.jpg,22.638802
392.jpg,19.512781
393.jpg,17.282406
394.jpg,19.21823
395.jpg,18.268623
396.jpg,22.732101
397.jpg,21.1352
398.jpg,20.787577
399.jpg,19.366089
400.jpg,20.315483
401.jpg,15.035267
402.jpg,19.701115
403.jpg,13.160044
404.jpg,22.398075
405.jpg,18.776957
406.jpg,18.682512
407.jpg,13.782687
408.jpg,13.145703
409.jpg,2.7438004
410.jpg,10.830395
411.jpg,6.1210656
412.jpg,6.7934823
413.jpg,2.8824534
414.jpg,-1.5929611
415.jpg,2.2786474
416.jpg,3.534844
417.jpg,3.6401117
418.jpg,3.0365095
419.jpg,1.9942979
420.jpg,5.7202187
421.jpg,-2.288121
422.jpg,1.6281524
423.jpg,-8.157781
424.jpg,1.461161
425.jpg,4.9298377
426.jpg,0.087179594
427.jpg,-7.185398
428.jpg,-5.428464
429.jpg,-5.9000206
430.jpg,-4.43196
431.jpg,-3.7741077
432.jpg,-8.28036
433.jpg,-1.1522124
434.jpg,-5.836614
435.jpg,-6.9603157
436.jpg,-7.3374257
437.jpg,-2.7366617
438.jpg,-5.60606
439.jpg,-9.213271
440.jpg,-10.822034
441.jpg,-7.6674857
442.jpg,-9.020171
443.jpg,-3.6151443
444.jpg,-7.1460357
445.jpg,-1.0148807
446.jpg,-10.692638
447.jpg,-7.7175965
448.jpg,-8.087473
449.jpg,-7.458959
450.jpg,14.9541
451.jpg,21.915462
452.jpg,21.882814
453.jpg,12.429366
454.jpg,-2.4275403
455.jpg,-9.4190445
456.jpg,-1.275456
457.jpg,0.5645243
458.jpg,-29.723736
459.jpg,10.576893
460.jpg,-37.365013
461.jpg,-23.984583
462.jpg,-14.881192
463.jpg,-8.236306
464.jpg,-10.636903
465.jpg,-6.8039246
466.jpg,-12.735681
467.jpg,-15.051161
468.jpg,-6.056447
469.jpg,-4.4618607
470.jpg,-0.71227574
471.jpg,-2.641426
472.jpg,-1.7375807
473.jpg,0.6830244
474.jpg,1.6432016
475.jpg,-3.7100415
476.jpg,-6.332008
477.jpg,-11.259235
478.jpg,-4.899018
479.jpg,-0.5755247
480.jpg,2.0864062
481.jpg,-11.878753
482.jpg,-13.818296
483.jpg,-14.337906
484.jpg,-16.526552
485.jpg,-14.799387
486.jpg,-32.735332
487.jpg,-11.989605
488.jpg,-14.519543
489.jpg,-11.305055
490.jpg,-9.650575
491.jpg,-17.2871
492.jpg,-4.7648616
493.jpg,-10.18574
494.jpg,-5.6543813
495.jpg,-6.982395
496.jpg,-3.8447132
497.jpg,-4.482008
498.jpg,-6.9582186
499.jpg,-8.704742
500.jpg,-11.100208
501.jpg,-9.059718
502.jpg,-14.714944
503.jpg,-12.1989355
504.jpg,-18.251648
505.jpg,-24.232445
506.jpg,-31.830301
507.jpg,-4.724746
508.jpg,-3.0815756
509.jpg,-1.9674737
510.jpg,2.9641755
511.jpg,0.9496535
512.jpg,-2.54203
513.jpg,-1.1183525
514.jpg,-7.3125505
515.jpg,-8.0417185
516.jpg,-12.9345
517.jpg,-15.868816
518.jpg,-7.873332
519.jpg,-2.0191226
520.jpg,-1.8402569
521.jpg,-8.050239
522.jpg,-7.0671916
523.jpg,-1.1699109
524.jpg,7.3372283
525.jpg,3.2110791
526.jpg,-2.350054
527.jpg,-4.5582266
528.jpg,-7.342793
529.jpg,-5.8556895
530.jpg,-7.500708
531.jpg,-9.306993
532.jpg,-5.8487964
533.jpg,-10.983635
534.jpg,-6.308068
535.jpg,-7.7638874
536.jpg,-1.9225938
537.jpg,-14.884094
538.jpg,-9.164436
539.jpg,-6.548872
540.jpg,-2.5779157
541.jpg,1.9888937
542.jpg,0.14163922
543.jpg,-9.290816
544.jpg,-7.15382
545.jpg,-18.289236
546.jpg,-56.85112
547.jpg,-82.00337
548.jpg,-104.800186
549.jpg,-78.26752
550.jpg,-12.644297
551.jpg,-8.085884
552.jpg,-18.078335
553.jpg,-3.3238404
554.jpg,-10.2483225
555.jpg,4.758857
556.jpg,-0.23586082
557.jpg,0.7305043
558.jpg,2.7196507
559.jpg,-0.42448163
560.jpg,-1.714443
561.jpg,-6.5602064
562.jpg,-8.561643
563.jpg,-18.429909
564.jpg,-6.391248
565.jpg,-1.7156943
566.jpg,-1.5135896
567.jpg,1.6187799
568.jpg,11.214438
569.jpg,0.34132376
570.jpg,10.566708
571.jpg,0.85723525
572.jpg,-4.1077247
573.jpg,3.7227962
574.jpg,0.1306535
575.jpg,4.0488415
576.jpg,6.458186
577.jpg,12.453
578.jpg,18.559515
579.jpg,15.398621
580.jpg,7.6380925
581.jpg,18.385769
582.jpg,18.815748
583.jpg,26.646793
584.jpg,15.788947
585.jpg,9.749868
586.jpg,16.4222
587.jpg,3.56404
588.jpg,1.2357953
589.jpg,4.533439
590.jpg,0.5129661
591.jpg,2.8492048
592.jpg,5.9237437
593.jpg,4.5245314
594.jpg,3.6426976
595.jpg,-0.15051961
596.jpg,0.43772715
597.jpg,1.2778742
598.jpg,7.5331287
599.jpg,2.9567506
600.jpg,-2.0151863
601.jpg,-7.7426953
602.jpg,-27.047638
603.jpg,-8.962483
604.jpg,-9.049349
605.jpg,-6.4149437
606.jpg,-4.5163965
607.jpg,-16.335575
608.jpg,-10.695791
609.jpg,-8.060174
610.jpg,-6.447343
611.jpg,-2.2553704
612.jpg,3.8272467
613.jpg,-2.9349444
614.jpg,7.63174
615.jpg,-6.9087853
616.jpg,-0.13490123
617.jpg,-3.5288537
618.jpg,-8.033887
619.jpg,-4.2892337
620.jpg,-4.1568003
621.jpg,-16.816721
622.jpg,-9.143852
623.jpg,-1.6161503
624.jpg,-3.799021
625.jpg,-9.56212
626.jpg,-9.997851
627.jpg,-5.6714573
628.jpg,-7.74522
629.jpg,-7.853376
630.jpg,-6.298703
631.jpg,-2.9568665
632.jpg,-8.07524
633.jpg,-6.9514837
634.jpg,-13.538628
635.jpg,-16.219461
636.jpg,-14.979546
637.jpg,-21.080454
638.jpg,-17.528482
639.jpg,-10.298684
640.jpg,-10.96428
641.jpg,-12.468955
642.jpg,-17.024395
643.jpg,-25.923128
644.jpg,-28.663431
645.jpg,-27.555038
646.jpg,-25.69703
647.jpg,-24.12421
648.jpg,-22.525648
649.jpg,-23.058352
650.jpg,-18.720318
651.jpg,-14.739797
652.jpg,-12.893223
653.jpg,-8.165003
654.jpg,-10.10877
655.jpg,-7.1560063
656.jpg,-7.56926
657.jpg,-9.865168
658.jpg,-7.596049
659.jpg,-11.317739
660.jpg,-13.579304
661.jpg,-7.094313
662.jpg,-13.562287
663.jpg,-15.574229
664.jpg,-15.887714
665.jpg,-24.37398
666.jpg,-12.05047
667.jpg,-14.165921
668.jpg,-11.357663
669.jpg,-18.095484
670.jpg,0.82840025
671.jpg,-2.3074682
672.jpg,-11.043106
673.jpg,-11.339722
674.jpg,-9.716506
675.jpg,-20.563753
676.jpg,-15.289064
677.jpg,-17.263
678.jpg,9.029948
679.jpg,17.159185
680.jpg,13.358859
681.jpg,19.577862
682.jpg,14.873385
683.jpg,15.565557
684.jpg,19.223694
685.jpg,33.320843
686.jpg,24.641893
687.jpg,30.013567
688.jpg,36.71171
689.jpg,19.09402
690.jpg,20.982225
691.jpg,34.712593
692.jpg,30.368372
693.jpg,29.865654
694.jpg,13.730101
695.jpg,8.936002
696.jpg,12.953371
697.jpg,12.509736
698.jpg,10.190569
699.jpg,13.24563
700.jpg,10.58571
701.jpg,10.038286
702.jpg,0.5194909
703.jpg,2.9020793
704.jpg,6.4009724
705.jpg,2.6186128
706.jpg,4.0763836
707.jpg,12.173739
708.jpg,8.861119
709.jpg,10.429664
710.jpg,11.56621
711.jpg,17.000986
712.jpg,14.204923
713.jpg,22.394587
714.jpg,17.567745
715.jpg,18.34051
716.jpg,8.353921
717.jpg,10.152842
718.jpg,12.095208
719.jpg,13.598816
720.jpg,5.0612626
721.jpg,0.25727612
722.jpg,4.7246513
723.jpg,5.3043327
724.jpg,8.882079
725.jpg,9.711793
726.jpg,9.963495
727.jpg,17.57538
728.jpg,9.779554
729.jpg,6.1470714
730.jpg,11.494762
731.jpg,13.933391
732.jpg,5.4768753
733.jpg,2.760896
734.jpg,7.4449024
735.jpg,12.961747
736.jpg,13.722076
737.jpg,18.302845
738.jpg,18.853685
739.jpg,18.371323
740.jpg,18.490456
741.jpg,17.706287
742.jpg,14.207874
743.jpg,13.137999
744.jpg,16.95572
745.jpg,19.79823
746.jpg,21.30452
747.jpg,22.943777
748.jpg,26.191916
749.jpg,19.372673
750.jpg,12.69095
751.jpg,12.964592
752.jpg,19.915155
753.jpg,12.59299
754.jpg,7.888941
755.jpg,-8.85513
756.jpg,-13.945642
757.jpg,-12.053537
758.jpg,-19.448067
759.jpg,-13.356472
760.jpg,-38.93435
761.jpg,-28.742283
762.jpg,-28.258375
763.jpg,-13.043032
764.jpg,-9.877319
765.jpg,-24.058867
766.jpg,-32.981686
767.jpg,-20.590765
768.jpg,-36.89153
769.jpg,-33.81811
770.jpg,-16.98862
771.jpg,-16.889034
772.jpg,-12.572588
773.jpg,-18.131556
774.jpg,-16.809462
775.jpg,-15.315078
776.jpg,-18.017279
777.jpg,-19.056742
778.jpg,-17.261465
779.jpg,-16.982897
780.jpg,-16.891548
781.jpg,-16.1467
782.jpg,-15.864496
783.jpg,-23.67652
784.jpg,-23.803244
785.jpg,-16.868092
786.jpg,-30.739426
787.jpg,-38.805786
788.jpg,-41.523273
789.jpg,-25.30983
790.jpg,-19.21144
791.jpg,-14.6233425
792.jpg,-20.091938
793.jpg,-40.271194
794.jpg,-24.325022
795.jpg,-20.101233
796.jpg,-19.308601
797.jpg,-18.748
798.jpg,-15.962923
799.jpg,-18.413183
800.jpg,-14.915751
801.jpg,-18.709303
802.jpg,-26.725578
803.jpg,-24.340662
804.jpg,-30.36422
805.jpg,217.91493
806.jpg,214.86214
807.jpg,52.581844
808.jpg,45.399242
809.jpg,0.19624186
810.jpg,-1.5290902
811.jpg,3.455597
812.jpg,2.304878
813.jpg,-2.9578936
814.jpg,-4.555872
815.jpg,-16.370523
816.jpg,-15.56326
817.jpg,-9.588384
818.jpg,-14.199164
819.jpg,-18.160475
820.jpg,-16.873535
821.jpg,-8.787601
822.jpg,-3.7554388
823.jpg,-7.6682534
824.jpg,-8.368391
825.jpg,1.8743093
826.jpg,-14.116653
827.jpg,-1.1497986
828.jpg,-5.0142665
829.jpg,9.535611
830.jpg,11.863455
831.jpg,10.113593
832.jpg,21.639538
833.jpg,20.412733
834.jpg,23.842731
835.jpg,22.400099
836.jpg,26.020573
837.jpg,24.500504
838.jpg,22.920649
839.jpg,21.714209
840.jpg,18.37965
841.jpg,20.115057
842.jpg,21.841396
843.jpg,17.279665
844.jpg,11.027075
845.jpg,15.319845
846.jpg,9.9841
847.jpg,10.245974
848.jpg,6.215568
849.jpg,11.467965
850.jpg,-8.825594
851.jpg,-19.768318
852.jpg,-15.660725
853.jpg,-21.812445
854.jpg,-26.399113
855.jpg,-30.957659
856.jpg,-34.750687
857.jpg,-41.26475
858.jpg,-49.547626
859.jpg,-68.66068
860.jpg,-74.40087
861.jpg,-82.97875
862.jpg,-72.741745
863.jpg,-59.208687
864.jpg,-77.733444
865.jpg,-71.18462
866.jpg,-69.59603
867.jpg,-61.68358
868.jpg,-47.627922
869.jpg,-53.529327
870.jpg,-65.12358
871.jpg,-41.49978
872.jpg,-33.37237
873.jpg,-32.091293
874.jpg,-30.955862
875.jpg,-25.68609
876.jpg,-19.974068
877.jpg,-12.370383
878.jpg,-8.258275
879.jpg,6.965071
880.jpg,7.4966516
881.jpg,-4.6449013
882.jpg,8.001699
883.jpg,-11.205078
884.jpg,-19.821192
885.jpg,-10.788006
886.jpg,-40.691586
887.jpg,-68.74207
888.jpg,-70.25109
889.jpg,-87.93711
890.jpg,-95.54755
891.jpg,-108.44184
892.jpg,-117.17158
893.jpg,-134.89795
894.jpg,-87.88325
895.jpg,-106.3615
896.jpg,-106.3322
897.jpg,-157.37906
898.jpg,-93.6359
899.jpg,-157.15245
900.jpg,-94.49162
901.jpg,-19.506126
902.jpg,-123.47702
903.jpg,-53.706863
904.jpg,-195.25652
905.jpg,-233.03543
906.jpg,-91.959885
907.jpg,-110.84974
908.jpg,-249.50957
909.jpg,-252.27293
910.jpg,-270.76215
911.jpg,-327.00208
912.jpg,-325.2911
913.jpg,-323.3949
914.jpg,-323.56534
915.jpg,-337.0923
916.jpg,-364.61642
917.jpg,-360.09265
918.jpg,-342.55707
919.jpg,-370.8373
920.jpg,-350.0899
921.jpg,-430.6964
922.jpg,-355.03143
923.jpg,-343.19998
924.jpg,-325.2799
925.jpg,-283.56238
926.jpg,-275.2446
927.jpg,-250.77856
928.jpg,-243.29007
929.jpg,-228.45251
930.jpg,-199.61209
931.jpg,-183.75293
932.jpg,-136.03929
933.jpg,-110.92612
934.jpg,-91.41538
935.jpg,-97.245094
936.jpg,-60.64477
937.jpg,-64.45372
938.jpg,-29.443495
939.jpg,-26.567183
940.jpg,-16.266409
941.jpg,-6.293156
942.jpg,11.447178
943.jpg,12.674759
944.jpg,13.425043
945.jpg,20.25244
946.jpg,20.749804
947.jpg,9.438035
948.jpg,13.7803335
949.jpg,19.017992
950.jpg,17.21155
951.jpg,12.092042
952.jpg,-15.793009
953.jpg,5.7402453
954.jpg,-20.702072
955.jpg,19.361391
956.jpg,29.017056
957.jpg,27.798784
958.jpg,22.224085
959.jpg,24.958948
960.jpg,21.943607
961.jpg,11.618051
962.jpg,18.765844
963.jpg,16.392496
964.jpg,21.590456
965.jpg,22.757875
966.jpg,17.588833
967.jpg,11.531272
968.jpg,6.2390866
969.jpg,4.7797523
970.jpg,6.330334
971.jpg,6.559644
972.jpg,9.17221
973.jpg,11.6857195
974.jpg,10.018665
975.jpg,17.8722
976.jpg,12.913748
977.jpg,10.88607
978.jpg,9.07645
979.jpg,10.060707
980.jpg,7.366252
981.jpg,18.485939
982.jpg,7.4837375
983.jpg,3.8912446
984.jpg,5.69346
985.jpg,7.696295
986.jpg,5.933995
987.jpg,6.6446757
988.jpg,9.700401
989.jpg,14.918004
990.jpg,17.969107
991.jpg,6.4374437
992.jpg,-7.601217
993.jpg,-5.9592752
994.jpg,-7.4115057
995.jpg,-0.4334904
996.jpg,4.600201
997.jpg,4.358833
998.jpg,-5.9022284
999.jpg,-2.7108207
